city_name_new,state,loc,n
beawar,rajasthan,Pune City,1
beed,maharashtra,Pune City,1
behror,rajasthan,Pune City,1
bhadohi,uttar pradesh,Pune City,1
bhadrak,odisha,Pune City,1
bhawanipatna,odisha,Pune City,1
bhind,madhya pradesh,Pune City,1
bhojpur,bihar,Pune City,1
biaora,madhya pradesh,Pune City,1
bihar sharif,bihar,Pune City,1
badlapur,maharashtra,Pune City,1
bagaha,bihar,bagaha,1
baghpat,uttar pradesh,Pune City,1
bagru,rajasthan,Pune City,1
baharagora,jharkhand,Pune City,1
balasore,odisha,Pune City,1
ballabhgarh,haryana,Pune City,1
balrampur,uttar pradesh,Pune City,1
banaskantha,gujarat,Pune City,1
bandipora,jammu & kashmir,Pune City,1
banga,punjab,Pune City,1
barabanki,uttar pradesh,Pune City,1
barwala,gujarat,Pune City,1
barwani,madhya pradesh,Pune City,1
bastar,chhattisgarh,Pune City,1
batala,punjab,Pune City,1
srikalahasti,andhra pradesh,Pune City,1
sundergarh,odisha,Pune City,1
surajpur,chhattisgarh,Pune City,1
tapi,gujarat,Pune City,1
tarn taran,punjab,Pune City,1
thiruvalla,kerala,tiruvalla,1
thoothukudi,tamil nadu,Pune City,1
tiruchengode,tamil nadu,Pune City,1
tiruvallur,tamil nadu,Pune City,1
tumkur,karnataka,Pune City,1
tura,meghalaya,Pune City,1
udhampur,jammu & kashmir,Pune City,1
ulhasnagar,maharashtra,Pune City,1
